word,pos,structure,meaning_en,meaning_vi
unadvised,adjective,un-[advise],without careful prior deliberation or counsel,"un-(không, ngược lại (phủ định/đảo nghĩa)) + advise(khuyên bảo)"
inadvisable,adjective,im-[advise]-able,not prudent or wise,im-(không (biến thể của in- trước b/m/p)) + advise(khuyên bảo) + -able(có thể được (tính từ))
unadvisedly,adverb,un-[advise]-ly,in an unadvised manner,"un-(không, ngược lại (phủ định/đảo nghĩa)) + advise(khuyên bảo) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
unafraid,adjective,un-[afraid],free from fear or doubt,"un-(không, ngược lại (phủ định/đảo nghĩa)) + afraid(sợ hãi)"
afterward,adverb,[after]-ward,happening at a time subsequent to a reference time,"after(sau, phía sau) + -ward(theo hướng (tính từ/trạng từ))"
ageless,adjective,[age]-less,continuing forever or indefinitely,"age(tuổi, thời đại) + -less(không có (tính từ))"
agelessness,noun,[age]-less-ness,the quality of being timeless and eternal,"age(tuổi, thời đại) + -less(không có (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
overage,adjective,over-[age],too old to be useful,"over-(trên, quá mức) + age(tuổi, thời đại)"
underage,adjective,under-[age],dependent by virtue of youth,"under-(dưới, không đủ) + age(tuổi, thời đại)"
reagent,noun,re-[agent],a chemical agent for use in chemical reactions,"re-(lại, làm lại) + agent(đại lý, tác nhân)"
agreeable,adjective,[agree]-able,conforming to your own liking or feelings or nature,agree(đồng ý) + -able(có thể được (tính từ))
agreement,noun,[agree]-ment,"an arrangement, a promise or a contract made with somebody",agree(đồng ý) + -ment(kết quả/hành động/trạng thái (danh từ))
agreeably,adverb,[agree]-able-y,in an enjoyable manner,agree(đồng ý) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)
agreeableness,noun,[agree]-able-ness,a temperamental disposition to be agreeable,"agree(đồng ý) + -able(có thể được (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
disagree,verb,dis-[agree],"if two people disagree or one person disagrees with another about something, they have a different opinion about it","dis-(không, ngược lại, tách rời) + agree(đồng ý)"
disagreeable,adjective,dis-[agree]-able,not to your liking,"dis-(không, ngược lại, tách rời) + agree(đồng ý) + -able(có thể được (tính từ))"
disagreement,noun,dis-[agree]-ment,a situation where people have different opinions about something and often argue,"dis-(không, ngược lại, tách rời) + agree(đồng ý) + -ment(kết quả/hành động/trạng thái (danh từ))"
disagreeably,adverb,dis-[agree]-able-y,in a disagreeable manner,"dis-(không, ngược lại, tách rời) + agree(đồng ý) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)"
disagreeableness,noun,dis-[agree]-able-ness,an ill-tempered and offensive disposition,"dis-(không, ngược lại, tách rời) + agree(đồng ý) + -able(có thể được (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
unaided,adjective,un-[aid],carried out without aid or assistance,"un-(không, ngược lại (phủ định/đảo nghĩa)) + aid(viện trợ, giúp đỡ)"
aimless,adjective,[aim]-less,aimlessly drifting,"aim(mục đích, nhắm) + -less(không có (tính từ))"
aimlessly,adverb,[aim]-less-ly,without aim,"aim(mục đích, nhắm) + -less(không có (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
aimlessness,noun,[aim]-less-ness,the quality of lacking any definite purpose,"aim(mục đích, nhắm) + -less(không có (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
airy,adjective,[air]-y,characterized by lightness and insubstantiality,"air(không khí, không trung) + -y(có tính chất; danh từ/tính từ)"
airless,adjective,[air]-less,lacking fresh air,"air(không khí, không trung) + -less(không có (tính từ))"
airily,adverb,[air]-y-ly,in a flippant manner,"air(không khí, không trung) + -y(có tính chất; danh từ/tính từ) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
airier,noun,[air]-y-er,air(the mixture of gases that surrounds the earth and that we breathe) + -y(having quality of; noun/adjective) + -er(person who does; comparative),"air(không khí, không trung) + -y(có tính chất; danh từ/tính từ) + -er(người làm việc gì; so sánh hơn)"
airiest,adjective,[air]-y-est,air(the mixture of gases that surrounds the earth and that we breathe) + -y(having quality of; noun/adjective) + -est(superlative),"air(không khí, không trung) + -y(có tính chất; danh từ/tính từ) + -est(so sánh nhất)"
midair,noun,mid-[air],some point in the air,"mid-(giữa) + air(không khí, không trung)"
alarmist,noun,[alarm]-ist,a person who alarms others needlessly,"alarm(báo động, lo sợ) + -ist(người theo/thực hành (danh từ))"
alarmingly,adverb,[alarm]-ly,in an alarming manner,"alarm(báo động, lo sợ) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
alcoholic,adjective,[alcohol]-ic,connected with or containing alcohol,"alcohol(rượu, cồn) + -ic(thuộc về (tính từ))"
alcoholism,noun,[alcohol]-ism,an intense persistent desire to drink alcoholic beverages to excess,"alcohol(rượu, cồn) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
alcoholically,adverb,[alcohol]-ic-ly,"alcohol(drinks such as beer, wine, etc. that can make people drunk) + -ic(relating to (adjective)) + -ly(adverb of manner / adjective (like))","alcohol(rượu, cồn) + -ic(thuộc về (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
alertly,adverb,[alert]-ly,in mentally perceptive and responsive way,"alert(cảnh giác, báo động) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
alertness,noun,[alert]-ness,lively attentiveness,"alert(cảnh giác, báo động) + -ness(trạng thái, tính chất (danh từ))"
alienist,noun,[alien]-ist,a psychiatrist and specialist in the legal aspects of mental illness,"alien(người ngoài hành tinh, xa lạ) + -ist(người theo/thực hành (danh từ))"
alienate,verb,[alien]-ate,"to arouse hostility or indifference in where there had formerly been love, affection, or friendliness","alien(người ngoài hành tinh, xa lạ) + -ate(làm cho/trở thành (động từ); có (tính từ))"
alienable,adjective,[alien]-able,transferable to another owner,"alien(người ngoài hành tinh, xa lạ) + -able(có thể được (tính từ))"
alienation,noun,[alien]-ion,the action of alienating,"alien(người ngoài hành tinh, xa lạ) + -ion(hành động, quá trình, trạng thái (danh từ))"
unalienable,adjective,un-[alien]-able,incapable of being repudiated or transferred to another,"un-(không, ngược lại (phủ định/đảo nghĩa)) + alien(người ngoài hành tinh, xa lạ) + -able(có thể được (tính từ))"
inalienable,adjective,im-[alien]-able,incapable of being repudiated or transferred to another,"im-(không (biến thể của in- trước b/m/p)) + alien(người ngoài hành tinh, xa lạ) + -able(có thể được (tính từ))"
overall,adjective,over-[all],including all the things or people that are involved in a particular situation; general,"over-(trên, quá mức) + all(tất cả)"
allegedly,adverb,[allege]-ly,expressed as though something is a fact but without giving any proof,allege(cáo buộc) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
allegiance,noun,[allege]-iance,the act of binding yourself (intellectually or emotionally) to a course of action,"allege(cáo buộc) + -iance(trạng thái, tính chất (danh từ, VD allegiance))"
allegation,noun,[allege]-ate-ion,"a public statement that is made without giving proof, accusing somebody of doing something that is wrong or illegal","allege(cáo buộc) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
allowable,adjective,[allow]-able,deductible according to the tax laws,allow(cho phép) + -able(có thể được (tính từ))
allowance,noun,[allow]-ance,an amount of money that is given to somebody regularly or for a particular purpose,"allow(cho phép) + -ance(trạng thái, tính chất, hành động (danh từ))"
allowably,adverb,[allow]-able-y,in a permissible manner,allow(cho phép) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)
disallow,verb,dis-[allow],command against,"dis-(không, ngược lại, tách rời) + allow(cho phép)"
alliance,noun,[ally]-ance,"an agreement between countries, political parties, etc. to work together in order to achieve something that they all want","ally(đồng minh) + -ance(trạng thái, tính chất, hành động (danh từ))"
misalliance,noun,mis-[ally]-ance,a marriage with a person of inferior social status,"mis-(sai, xấu) + ally(đồng minh) + -ance(trạng thái, tính chất, hành động (danh từ))"
aloneness,noun,[alone]-ness,a disposition toward being alone,"alone(một mình) + -ness(trạng thái, tính chất (danh từ))"
alterable,adjective,[alter]-able,(of the punishment ordered by a court) capable of being changed to one less severe,alter(thay đổi) + -able(có thể được (tính từ))
alteration,noun,[alter]-ion,the act of making something different (as e.g. the size of a garment),"alter(thay đổi) + -ion(hành động, quá trình, trạng thái (danh từ))"
unalterable,adjective,un-[alter]-able,remaining the same for indefinitely long times,"un-(không, ngược lại (phủ định/đảo nghĩa)) + alter(thay đổi) + -able(có thể được (tính từ))"
unalterably,adverb,un-[alter]-able-y,in an unalterable and unchangeable manner,"un-(không, ngược lại (phủ định/đảo nghĩa)) + alter(thay đổi) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)"
amateurism,noun,[amateur]-ism,the conviction that people should participate in sports as a hobby (for the fun of it) rather than for money,"amateur(nghiệp dư) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
amateurish,adjective,[amateur]-ish,lacking professional skill or expertise,"amateur(nghiệp dư) + -ish(hơi, có tính chất (tính từ))"
amateurishly,adverb,[amateur]-ish-ly,in an amateurish manner,"amateur(nghiệp dư) + -ish(hơi, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
amateurishness,noun,[amateur]-ish-ness,something that demonstrates a lack of professional competency,"amateur(nghiệp dư) + -ish(hơi, có tính chất (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
amazement,noun,[amaze]-ment,the feeling that accompanies something extremely surprising,amaze(làm kinh ngạc) + -ment(kết quả/hành động/trạng thái (danh từ))
