root_word,kieu_ket_hop,cong_thuc,vi_du_tu_moi,so_luong_vi_du
busy,Root + Suffix,busy + suffix,"busier, busiest, busily, busyness",4
butter,Word + Word,butter + cup,"buttercup, butterfat, butterfingers, butterfly, buttermilk, butternut",6
butter,Root + Suffix,butter + suffix,buttery,1
button,Word + Word,button + hole,"buttonhole, buttonhook",2
button,Prefix + Root,prefix + button,unbutton,1
buy,Root + Suffix,buy + suffix,buyer,1
cabinet,Word + Word,cabinet + make,cabinetmakers,1
call,Prefix + Root,prefix + call,"miscall, overcall, recall, uncalled",4
call,Root + Suffix,call + suffix,"callable, caller",2
call,Prefix + Root + Suffix,prefix + call + suffix,recallable,1
calm,Prefix + Root,prefix + calm,becalmed,1
calm,Root + Suffix,calm + suffix,"calmer, calmest, calmly, calmness",4
camera,Word + Word,camera + man,cameraman,1
camera,Prefix + Root + Suffix,prefix + camera + suffix,bicameral,1
camp,Word + Word,camp + fire,"campfire, campground, campmate, campsite",4
camp,Prefix + Root,prefix + camp,"decamp, encamp",2
camp,Root + Suffix,camp + suffix,camper,1
camp,Prefix + Root + Suffix,prefix + camp + suffix,encampment,1
campaign,Root + Suffix,campaign + suffix,campaigner,1
can,Word + Word,can + not,cannot,1
can,Root + Suffix,can + suffix,"canine, cannery, canst",3
canal,Root + Suffix,canal + suffix,canalization,1
cancel,Root + Suffix,cancel + suffix,cancellation,1
cancer,Root + Suffix,cancer + suffix,"cancerous, cancerously",2
candle,Word + Word,candle + light,"candlelight, candlepower, candlestick",3
canvas,Root + Suffix,canvas + suffix,canvassers,1
cap,Prefix + Root,prefix + cap,"recap, uncap",2
capable,Prefix + Root,prefix + capable,incapable,1
capable,Root + Suffix,capable + suffix,"capability, capably",2
capable,Prefix + Root + Suffix,prefix + capable + suffix,"incapability, incapably",2
captain,Root + Suffix,captain + suffix,captaincy,1
car,Root + Word,car + sono,carson,1
car,Word + Word,car + bone,"carbones, carload, carport, carsick",4
carbon,Root + Suffix,carbon + suffix,"carbonate, carbonation, carbonic, carboniferous, carbonization, carbonize",6
carbon,Prefix + Root + Suffix,prefix + carbon + suffix,"bicarbonate, decarbonize",2
card,Word + Word,card + board,"cardboard, cardpunch, cardsharpers",3
card,Prefix + Root,prefix + card,discard,1
care,Word + Word,care + free,"carefree, caretaker",2
care,Prefix + Root,prefix + care,aftercare,1
care,Root + Suffix,care + suffix,"careful, carefully, carefulness, careless, carelessly, carelessness",6
career,Root + Suffix,career + suffix,"careerism, careerist",2
cargo,Prefix + Root,prefix + cargo,supercargo,1
carpet,Word + Word,carpet + bag,"carpetbag, carpetbagger",2
carrot,Root + Suffix,carrot + suffix,carroty,1
carry,Word + Word,carry + out,"carriageway, carryout, carryover",3
carry,Prefix + Root,prefix + carry,miscarry,1
carry,Root + Suffix,carry + suffix,"carriage, carrier",2
carry,Prefix + Root + Suffix,prefix + carry + suffix,"miscarriage, undercarriage",2
cartoon,Root + Suffix,cartoon + suffix,cartoonist,1
carve,Root + Suffix,carve + suffix,carver,1
case,Word + Word,case + book,"casebook, casework, caseworker",3
case,Prefix + Root,prefix + case,encase,1
case,Root + Suffix,case + suffix,casement,1
cash,Root + Suffix,cash + suffix,"cashable, cashier",2
cast,Word + Word,cast + away,"castaway, castoffs",2
cast,Prefix + Root,prefix + cast,"downcast, forecast, miscast, outcast, overcast, precast, recast",7
cast,Root + Suffix,cast + suffix,caster,1
cast,Prefix + Root + Suffix,prefix + cast + suffix,forecasters,1
castle,Prefix + Root,prefix + castle,forecastle,1
casual,Root + Suffix,casual + suffix,"casually, casualness, casualty",3
cat,Word + Word,cat + call,"catcall, catfish, catgut, catlike, catwalk",5
cat,Root + Suffix,cat + suffix,"cattier, cattiest, cattily, cattiness, cattish, catty",6
catch,Word + Word,catch + phrase,"catchphrase, catchup, catchword",3
catch,Root + Suffix,catch + suffix,"catcher, catchier, catchiest, catchment, catchy",5
cater,Root + Suffix,cater + suffix,caterer,1
cause,Word + Word,cause + way,causeway,1
cause,Prefix + Root,prefix + cause,uncaused,1
cause,Root + Suffix,cause + suffix,"causal, causality, causally, causation, causative, causatively, causeless, causelessly",8
cave,Word + Word,cave + man,caveman,1
cease,Prefix + Root,prefix + cease,unceasing,1
cease,Root + Suffix,cease + suffix,"ceaseless, ceaselessly",2
cease,Prefix + Root + Suffix,prefix + cease + suffix,unceasingly,1
cell,Root + Suffix,cell + suffix,"cellular, celluloid, cellulose",3
cell,Prefix + Root + Suffix,prefix + cell + suffix,"hypercellularity, hypocellularity",2
centre,Root + Word,centre + piece,centrepiece,1
centre,Prefix + Root,prefix + centre,epicentre,1
ceremony,Root + Suffix,ceremony + suffix,"ceremonial, ceremonially, ceremonious, ceremoniously, ceremoniousness",5
ceremony,Prefix + Root + Suffix,prefix + ceremony + suffix,"unceremonious, unceremoniously, unceremoniousness",3
certain,Prefix + Root,prefix + certain,"ascertain, uncertain",2
certain,Root + Suffix,certain + suffix,"certainly, certainty",2
certain,Prefix + Root + Suffix,prefix + certain + suffix,"ascertainable, uncertainly, uncertainness, uncertainty",4
chain,Word + Word,chain + like,chainlike,1
chain,Prefix + Root,prefix + chain,enchain,1
chain,Prefix + Root + Suffix,prefix + chain + suffix,enchainment,1
chair,Word + Word,chair + man,"chairman, chairmanship, chairperson, chairwoman",4
challenge,Prefix + Root,prefix + challenge,unchallenged,1
challenge,Root + Suffix,challenge + suffix,"challenger, challengingly",2
chamber,Word + Word,chamber + pot,chamberpot,1
chamber,Prefix + Root,prefix + chamber,antechamber,1
champion,Root + Suffix,champion + suffix,championship,1
chance,Prefix + Root,prefix + chance,mischance,1
chance,Root + Suffix,chance + suffix,"chancier, chanciest, chancy",3
change,Prefix + Root,prefix + change,"exchange, interchange, unchanged",3
change,Root + Suffix,change + suffix,"changeability, changeable, changeableness, changeably, changeful, changeless, changeling",7
change,Prefix + Root + Suffix,prefix + change + suffix,"exchangeable, interchangeability, interchangeable, interchangeably, unchangeable",5
channel,Prefix + Root,prefix + channel,multichannel,1
character,Root + Suffix,character + suffix,"characteristic, characteristically, characterization, characterize, characterless",5
charge,Prefix + Root,prefix + charge,"discharge, overcharge, recharge, supercharged, surcharge, uncharged, undercharge, undischarged",8
charge,Root + Suffix,charge + suffix,"chargeable, charger",2
charge,Prefix + Root + Suffix,prefix + charge + suffix,supercharger,1
charm,Root + Suffix,charm + suffix,"charmer, charmingly",2
chart,Prefix + Root,prefix + chart,uncharted,1
chart,Root + Suffix,chart + suffix,chartist,1
charter,Prefix + Root,prefix + charter,rechartering,1
chase,Root + Suffix,chase + suffix,chaser,1
chat,Prefix + Root,prefix + chat,backchat,1
chat,Root + Suffix,chat + suffix,"chattier, chattiest, chatty",3
cheap,Root + Suffix,cheap + suffix,"cheapen, cheaper, cheapest, cheaply, cheapness",5
check,Word + Word,check + board,"checkbook, checkerboard, checkin, checklist, checkmate, checkoff, checkout, checkpoint (+1 từ khác)",9
check,Prefix + Root,prefix + check,"crosscheck, recheck, unchecked",3
check,Root + Suffix,check + suffix,checker,1
cheek,Word + Word,cheek + bone,cheekbone,1
cheek,Root + Suffix,cheek + suffix,"cheekier, cheekiest, cheekily, cheeky",4
cheer,Word + Word,cheer + lead,cheerleader,1
cheer,Root + Suffix,cheer + suffix,"cheerful, cheerfully, cheerfulness, cheerier, cheeriest, cheerily, cheeriness, cheerless (+3 từ khác)",11
cheese,Word + Word,cheese + cake,"cheesecake, cheesecloth",2
chest,Word + Word,chest + nut,chestnut,1
chest,Root + Suffix,chest + suffix,"chestier, chestiest, chestily, chesty",4
chief,Root + Suffix,chief + suffix,"chiefdom, chiefly",2
child,Word + Word,child + bear,"childbearing, childbirth, childlike",3
child,Root + Suffix,child + suffix,"childhood, childish, childishly, childishness, childless",5
chip,Word + Word,chip + board,chipboard,1
chip,Root + Suffix,chip + suffix,chippy,1
choice,Root + Suffix,choice + suffix,"choicely, choiceness, choicer, choicest",4
choir,Word + Word,choir + boy,"choirboy, choirmaster",2
choose,Root + Suffix,choose + suffix,"choosier, choosiest, choosy",3
chop,Word + Word,chop + fall,"chopfallen, chopstick",2
chop,Root + Suffix,chop + suffix,"chopper, choppier, choppiest, choppiness, choppy",5
chunk,Root + Suffix,chunk + suffix,"chunkier, chunkiest, chunky",3
church,Word + Word,church + go,"churchgoer, churchgoing, churchwarden, churchyard, nonchurchgoing",5
cinema,Root + Suffix,cinema + suffix,"cinematic, cinematograph, cinematography",3
circle,Prefix + Root,prefix + circle,"encircle, semicircle",2
circle,Root + Suffix,circle + suffix,"circular, circularize, circulate, circulation, circulatory",5
circle,Prefix + Root + Suffix,prefix + circle + suffix,"encirclement, semicircular",2
circuit,Root + Suffix,circuit + suffix,"circuitously, circuitry",2
cite,Prefix + Root,prefix + cite,"incite, recite",2
cite,Root + Suffix,cite + suffix,citation,1
cite,Prefix + Root + Suffix,prefix + cite + suffix,"incitement, recital, recitation, recitative, reciter",5
citizen,Root + Suffix,citizen + suffix,"citizenry, citizenship",2
city,Word + Word,city + wide,citywide,1
civil,Prefix + Root,prefix + civil,uncivil,1
civil,Root + Suffix,civil + suffix,"civilian, civility, civilization, civilizational, civilize, civilly",6
civil,Prefix + Root + Suffix,prefix + civil + suffix,incivility,1
claim,Prefix + Root,prefix + claim,"declaim, disclaim, exclaim, proclaim, reclaim, unclaimed",6
claim,Root + Suffix,claim + suffix,claimant,1
claim,Prefix + Root + Suffix,prefix + claim + suffix,"declamation, declamatory, disclaimer, exclamation, exclamatory, proclamation, reclamation",7
class,Word + Word,class + man,"classmate, classroom, underclassman",3
class,Prefix + Root,prefix + class,outclass,1
class,Root + Suffix,class + suffix,"classic, classical, classically, classicism, classicist, classier, classiest, classifiable (+7 từ khác)",15
class,Prefix + Root + Suffix,prefix + class + suffix,"declassification, declassify, reclassification, reclassified",4
clean,Word + Word,clean + up,cleanup,1
clean,Prefix + Root,prefix + clean,unclean,1
clean,Root + Suffix,clean + suffix,"cleaner, cleanest, cleanlier, cleanliness, cleanly, cleanness",6
clean,Prefix + Root + Suffix,prefix + clean + suffix,uncleanness,1
clear,Word + Word,clear + house,"clearinghouse, clearwater, clearway",3
clear,Prefix + Root,prefix + clear,unclear,1
clear,Root + Suffix,clear + suffix,"clarification, clarify, clarity, clearance, clearer, clearest, clearly, clearness",8
clever,Root + Suffix,clever + suffix,"cleverer, cleverest, cleverly, cleverness",4
cliff,Word + Word,cliff + hang,"cliffhanger, cliffhanging",2
climate,Word + Word,climate + log,climatology,1
climate,Prefix + Root,prefix + climate,acclimate,1
climate,Root + Suffix,climate + suffix,"climatic, climatical, climatically",3
climate,Prefix + Root + Suffix,prefix + climate + suffix,"acclimation, acclimatization, acclimatize",3
climb,Root + Suffix,climb + suffix,climber,1
cling,Root + Suffix,cling + suffix,"clingier, clingiest, clingy",3
clinic,Root + Suffix,clinic + suffix,"clinical, clinically",2
clip,Word + Word,clip + board,clipboard,1
clip,Root + Suffix,clip + suffix,clipper,1
clock,Word + Word,clock + work,clockwork,1
clock,Root + Suffix,clock + suffix,clockwise,1
clock,Prefix + Root + Suffix,prefix + clock + suffix,anticlockwise,1
close,Word + Word,close + down,"closedown, closeup",2
close,Prefix + Root,prefix + close,"disclose, enclose, foreclose, inclosed, undisclosed",5
close,Root + Suffix,close + suffix,"closely, closeness, closer, closest, closure",5
close,Prefix + Root + Suffix,prefix + close + suffix,"disclosure, enclosure, foreclosure",3
cloth,Word + Word,cloth + bound,"clothbound, clothesbrush, clotheshorse, clothesline, clothespin",5
cloth,Prefix + Root,prefix + cloth,underclothes,1
cloth,Root + Suffix,cloth + suffix,clothier,1
cloud,Word + Word,cloud + burst,cloudburst,1
cloud,Prefix + Root,prefix + cloud,"overclouded, unclouded",2
cloud,Root + Suffix,cloud + suffix,"cloudier, cloudiest, cloudiness, cloudless, cloudy",5
club,Word + Word,club + foot,"clubfoot, clubhouse, clubrooms",3
club,Root + Suffix,club + suffix,clubbable,1
clue,Root + Suffix,clue + suffix,clueless,1
coach,Word + Word,coach + build,"coachbuilder, coachman, coachwork",3
coal,Word + Word,coal + face,"coalface, coalfield, coalhole, coalmine",4
coast,Word + Word,coast + guard,"coastguard, coastguardsman, coastline",3
coast,Root + Suffix,coast + suffix,"coastal, coaster, coastwise",3
coat,Word + Word,coat + tail,coattails,1
coat,Prefix + Root,prefix + coat,"overcoat, surcoat, undercoat",3
code,Prefix + Root,prefix + code,"decode, encode",2
code,Root + Suffix,code + suffix,"codification, codify",2
code,Prefix + Root + Suffix,prefix + code + suffix,decoder,1
coffee,Word + Word,coffee + cup,"coffeecup, coffeepot",2
coin,Root + Suffix,coin + suffix,"coinage, coiner",2
cold,Root + Suffix,cold + suffix,"colder, coldest, coldly, coldness",4
collapse,Root + Suffix,collapse + suffix,collapsible,1
collect,Root + Suffix,collect + suffix,"collectedly, collectible, collection, collective, collectively, collectivism, collectivization, collectivize (+1 từ khác)",9
college,Root + Suffix,college + suffix,collegiate,1
college,Prefix + Root + Suffix,prefix + college + suffix,intercollegiate,1
color,Word + Word,color + fast,"colourfast, colourfastness",2
color,Prefix + Root,prefix + color,"discolour, multicolor, uncolored",3
color,Root + Suffix,color + suffix,"coloration, colorful, colorless, colourlessly, colourlessness",5
color,Prefix + Root + Suffix,prefix + color + suffix,discolouration,1
column,Root + Suffix,column + suffix,columnist,1
combat,Root + Suffix,combat + suffix,"combatant, combative",2
combat,Prefix + Root + Suffix,prefix + combat + suffix,noncombatant,1
combine,Root + Suffix,combine + suffix,"combinable, combination, combinatorial",3
come,Word + Word,come + back,"comeback, comedown",2
come,Prefix + Root,prefix + come,"income, oncoming, outcome, overcome, upcoming",5
come,Root + Suffix,come + suffix,"comeliness, comer, cometh",3
comedy,Root + Suffix,comedy + suffix,"comedian, comedienne",2
comfort,Prefix + Root,prefix + comfort,"discomfort, uncomforted",2
comfort,Root + Suffix,comfort + suffix,"comfortable, comfortably, comforter, comfortless",4
comfort,Prefix + Root + Suffix,prefix + comfort + suffix,"uncomfortable, uncomfortably",2
comic,Root + Suffix,comic + suffix,"comical, comically",2
command,Root + Suffix,command + suffix,"commandeer, commander, commandment, commando",4
commence,Prefix + Root,prefix + commence,recommence,1
commence,Root + Suffix,commence + suffix,commencement,1
comment,Root + Suffix,comment + suffix,"commentary, commentate, commentator",3
commerce,Root + Suffix,commerce + suffix,"commercial, commercialism, commercialization, commercialize, commercially",5
commit,Prefix + Root,prefix + commit,uncommitted,1
commit,Root + Suffix,commit + suffix,"commitment, committal",2
commit,Prefix + Root + Suffix,prefix + commit + suffix,"noncommittal, noncommittally",2
common,Word + Word,common + place,"commonplace, commonwealth",2
common,Prefix + Root,prefix + common,uncommon,1
common,Root + Suffix,common + suffix,"commoner, commonest, commonly, commonness",4
common,Prefix + Root + Suffix,prefix + common + suffix,uncommonly,1
compare,Root + Suffix,compare + suffix,"comparable, comparably, comparative, comparatively, comparison",5
compare,Prefix + Root + Suffix,prefix + compare + suffix,"incomparability, incomparable, incomparably",3
compassion,Root + Suffix,compassion + suffix,"compassionate, compassionately",2
compel,Root + Suffix,compel + suffix,compellingly,1
compensate,Prefix + Root,prefix + compensate,overcompensate,1
compensate,Root + Suffix,compensate + suffix,"compensation, compensatory",2
compensate,Prefix + Root + Suffix,prefix + compensate + suffix,overcompensation,1
compete,Root + Suffix,compete + suffix,"competence, competency, competent, competently, competition, competitive, competitively, competitiveness (+1 từ khác)",9
