root_word,meaning_en,meaning_vi
continue,to keep existing or happening without stopping,tiếp tục
contract,an official written agreement,hợp đồng
control,"the power to make decisions about how a country, an area, an organization, etc. is run",kiểm soát
convenience,"the quality of being useful, easy or suitable for somebody",sự tiện lợi
convenient,"useful, easy or quick to do; not causing problems",tiện lợi
convention,the way in which something is done that most people in a society expect and consider to be polite or the right way to do it,"hội nghị, quy ước"
convey,"to make ideas, feelings, etc. known to somebody",truyền đạt
convict,to decide and state officially in court that somebody is guilty of a crime,kết án
convince,to make somebody/yourself believe that something is true,thuyết phục
cook,a person who cooks food or whose job is cooking,nấu ăn
cool,fairly cold; not hot or warm,"mát mẻ, ngầu"
cope,to deal successfully with something difficult,đối phó
copper,"a chemical element. Copper is a soft red-brown metal used for making electric wires, pipes and coins.",đồng (kim loại)
copy,"a thing that is made to be the same as something else, especially a document or a work of art",sao chép
core,most important; main or essential,"lõi, cốt lõi"
corner,"a part of something where two or more sides, lines or edges join",góc
correct,"accurate or true, without any mistakes ",chính xác
correspond,to be the same as or match something,"tương ứng, thư từ"
cost,"the amount of money that you need in order to buy, make or do something",chi phí
costume,the clothes worn by people from a particular place or during a particular historical period,trang phục
cottage,"a small house, especially in the country",nhà tranh nhỏ
cotton,a plant grown in warm countries for the soft white hairs around its seeds that are used to make cloth and thread,bông
counsel,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),"lời khuyên, luật sư"
count,an act of counting to find the total number of somebody/something,đếm
counter,"a long flat surface over which goods are sold or business is done in a shop, bank, etc.","quầy, đối kháng"
country,an area of land that has or used to have its own government and laws,đất nước
couple,two people or things,cặp đôi
courage,"the ability to do something dangerous, or to face pain or opposition, without showing fear",lòng dũng cảm
course,a series of lessons or lectures on a particular subject,"khóa học, đường đi"
court,"the place where legal trials take place and where crimes, etc. are judged","tòa án, sân"
courtesy,polite behaviour that shows respect for other people,phép lịch sự
cousin,a child of your aunt or uncle,anh chị em họ
cover,"a thing that is put over or on another thing, usually to protect it or to decorate it","che phủ, bìa"
cow,a large animal kept on farms to produce milk or beef,con bò
crack,a line on the surface of something where it has broken but not split into separate parts,"vết nứt, bẻ"
craft,an activity involving a special skill at making things with your hands,"thủ công, chế tạo"
crash,"an accident in which a vehicle hits something, for example another vehicle, usually causing damage and often injuring or killing the passengers","va chạm, sập"
crawl,to move forward on your hands and knees or with your body close to the ground,bò trườn
cream,between yellow and white in colour,kem
create,to make something happen or exist,sáng tạo
credit,"an arrangement that you make, with a shop for example, to pay later for something you buy","tín dụng, công lao"
creep,"to move slowly, quietly and carefully, because you do not want to be seen or heard","bò, rón rén"
crew,"all the people working on a ship, plane, etc.",phi hành đoàn
crimin,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),tội phạm (gốc từ)
crisis,"a time of great danger, difficulty or doubt when problems must be solved or important decisions must be made",khủng hoảng
