word,pos,meaning_en,meaning_vi
bridgewater,noun,"a structure that is built over a road, railway, river, etc. so that people, vehicles, etc. can cross from one side to the other + a liquid without colour, smell or taste that falls as rain, is in lakes, rivers and seas, and is used for drinking, washing, etc.","a structure that is built over a road, railway, river, etc. so that people, vehicles, etc. can cross from one side to the other + a liquid khong có colour, smell or taste that falls as rain, is in lakes, rivers and seas, and is used for drinking, washing, etc."
briefer,noun,lasting only a short time; short | person who does; comparative,lasting only a short time; short | người thực hiện; so sánh hơn
briefest,adjective,lasting only a short time; short | superlative,lasting only a short time; short | so sánh nhất
brighter,noun,full of light; shining strongly | person who does; comparative,full of light; shining strongly | người thực hiện; so sánh hơn
brightest,adjective,full of light; shining strongly | superlative,full of light; shining strongly | so sánh nhất
broader,noun,wide | person who does; comparative,wide | người thực hiện; so sánh hơn
broadest,adjective,wide | superlative,wide | so sánh nhất
broadminded,adjective,"wide + the part of a person that makes them able to be aware of things, to think and to feel","wide + the part of a person that makes them able to be aware of things, to think and to feel"
broadmindedly,adverb,"wide + the part of a person that makes them able to be aware of things, to think and to feel | adverb of manner / adjective (like","wide + the part of a person that makes them able to be aware of things, to think and to feel | trạng từ chỉ cách thức / t tính từ (like"
broadmindedness,noun,"wide + the part of a person that makes them able to be aware of things, to think and to feel | state or quality of (noun","wide + the part of a person that makes them able to be aware of things, to think and to feel | trạng thái hoặc tính chất của (danh từ"
broadways,adjective,wide + very far; by a large amount,wide + very far; by a large amount
browner,noun,having the colour of earth or coffee | person who does; comparative,having the colour of earth or coffee | người thực hiện; so sánh hơn
brownest,adjective,having the colour of earth or coffee | superlative,having the colour of earth or coffee | so sánh nhất
brushfire,noun,an object made of short stiff hairs (called bristles,an object made of short stiff hairs (called bristles
brushfire,adjective,"relating to or being a minor, sporadic, small-scale conflict or war","liên quan đến hoặc mang tính chất một cuộc xung đột hay chiến tranh nhỏ lẻ, rời rạc, quy mô nhỏ"
bubblier,noun,"a ball of air or gas in a liquid, or a ball of air inside a solid substance such as glass | having quality of; noun/adjective | person who does; comparative","a ball of air or gas in a liquid, or a ball of air inside a solid substance such as glass | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
bubbliest,adjective,"a ball of air or gas in a liquid, or a ball of air inside a solid substance such as glass | having quality of; noun/adjective | superlative","a ball of air or gas in a liquid, or a ball of air inside a solid substance such as glass | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
bugeyed,noun,any small insect + either of the two organs on the face that you see with,any nhỏ insect + either of the two organs on the face that you see with
