component_roots,derived_word,morphology_structure,pattern_PRS,pos,IPA,ipa_status,definition_en,nghia_tieng_viet,source,vi_note,existence_note
ball+play,ballplayer,[ball+play]-er,0-2-1,noun,/ˈbɔɫˌpɫeɪɝ/,real,an athlete who plays baseball,ball+play(quả bóng + chơi) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ball+point,ballpoint,[ball+point],0-2-0,noun,/ˈbɔɫpɔɪnt/,real,a pen that has a small metal ball as the point of transfer of ink to paper,"ball+point(quả bóng + điểm, chỉ ra)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ball+room,ballroom,[ball+room],0-2-0,noun,/ˈbɔɫˌɹum/,real,large room used mainly for dancing,ball+room(quả bóng + căn phòng),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ban+bury,banbury,[ban+bury],0-2-0,noun,/ˈbænˌbɛɹi/,real,ban+bury(an official rule that says that something is not allowed + to place a dead body in the ground),ban+bury(cấm + chôn cất),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
band+box,bandbox,[band+box],0-2-0,noun,/bˈændbɒks/,real,a light cylindrical box for holding light articles of attire (especially hats),"band+box(ban nhạc, dải băng + hộp)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
band+man,bandsman,[band+man],0-2-0,noun,/bˈændzmən/,real,a player in a band (especially a military band),"band+man(ban nhạc, dải băng + đàn ông)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
band+master,bandmaster,[band+master],0-2-0,noun,/bˈændmɑːstɐ/,real,the conductor of a band,"band+master(ban nhạc, dải băng + bậc thầy)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
band+stand,bandstand,[band+stand],0-2-0,noun,/ˈbændˌstænd/,real,a platform where a band can play in the open air,"band+stand(ban nhạc, dải băng + đứng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
band+width,bandwidth,[band+width],0-2-0,noun,/ˈbændwɪdθ/,real,a data transmission rate,"band+width(ban nhạc, dải băng + chiều rộng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bank+book,bankbook,[bank+book],0-2-0,noun,/ˈbæŋkˌbʊk/,real,a record of deposits and withdrawals and interest held by depositors at certain banks,"bank+book(ngân hàng, bờ sông + sách)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bank+note,banknote,[bank+note],0-2-0,noun,/ˈbæŋkˌnoʊt/,real,a piece of paper money (especially one issued by a central bank),"bank+note(ngân hàng, bờ sông + ghi chú)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bank+roll,bankroll,[bank+roll],0-2-0,noun,/ˈbæŋˌkɹoʊɫ/,real,a roll of currency notes (often taken as the resources of a person or business etc.),"bank+roll(ngân hàng, bờ sông + cuộn lại, lăn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bar+fly,barflies,[bar+fly],0-2-0,noun,/bˈɑːɹflaɪz/,"generated (espeak-ng G2P, algorithmic)",bar+fly(a place where you can buy and drink alcoholic and other drinks + a small flying insect with two wings. There are many different types of fly and many of them spread disease.),"bar+fly(quán bar, thanh chắn + bay, ruồi)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
bar+keep,barkeep,[bar+keep],0-2-0,noun,/bˈɑːkiːp/,real,an employee who mixes and serves alcoholic drinks at a bar,"bar+keep(quán bar, thanh chắn + giữ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bar+man,barman,[bar+man],0-2-0,noun,/ˈbɑɹmən/,real,an employee who mixes and serves alcoholic drinks at a bar,"bar+man(quán bar, thanh chắn + đàn ông)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bar+tend,bartender,[bar+tend]-er,0-2-1,noun,/ˈbɑɹˌtɛndɝ/,real,an employee who mixes and serves alcoholic drinks at a bar,"bar+tend(quán bar, thanh chắn + có xu hướng) + -er(người làm việc gì; so sánh hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bare+back,bareback,[bare+back],0-2-0,adverb,/bˈeəbæk/,real,without a saddle,"bare+back(trần trụi + lưng, phía sau)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bare+face,barefacedly,[bare+face]-ly,0-2-1,adverb,/bˈɛɹfeɪsˌɪdli/,"generated (espeak-ng G2P, algorithmic)",without shame,"bare+face(trần trụi + khuôn mặt, đối mặt) + -ly(trạng từ chỉ cách thức / tính từ (giống như))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bare+face,barefaced,[bare+face],0-2-0,adjective,/bˈeəfeɪst/,real,unrestrained by convention or propriety,"bare+face(trần trụi + khuôn mặt, đối mặt)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bare+foot,barefoot,[bare+foot],0-2-0,adverb,/ˈbɛɹˌfʊt/,real,without shoes on,bare+foot(trần trụi + bàn chân),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bare+head,bareheaded,[bare+head],0-2-0,adjective,/bˈeəhɛdɪd/,real,having the head uncovered,"bare+head(trần trụi + đầu, người đứng đầu)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bare+leg,barelegged,[bare+leg],0-2-0,adjective,/bˈɛɹlɪɡˌɪd/,"generated (espeak-ng G2P, algorithmic)",having the legs uncovered by clothing,bare+leg(trần trụi + chân),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
base+ball,baseball,[base+ball],0-2-0,noun,/ˈbeɪsˈbɔɫ/,real,"a game played especially in the US by two teams of nine players, using a bat and ball. Each player tries to hit the ball and then run around four bases before the other team can return the ball.","base+ball(căn cứ, cơ sở + quả bóng)",Oxford 5000 (verified),,
base+board,baseboard,[base+board],0-2-0,noun,/ˈbeɪsˌbɔɹd/,real,a molding covering the joint formed by a wall and the floor,"base+board(căn cứ, cơ sở + ban, bảng, tấm ván)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
base+line,baseline,[base+line],0-2-0,noun,/ˈbeɪˌsɫaɪn/,real,the lines a baseball player must follow while running the bases,"base+line(căn cứ, cơ sở + đường kẻ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
base+man,baseman,[base+man],0-2-0,noun,/ˈbeɪsmən/,real,"base+man(the lowest part of something, especially the part or surface on which it rests or stands + an adult male human)","base+man(căn cứ, cơ sở + đàn ông)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
basket+ball,basketball,[basket+ball],0-2-0,noun,/ˈbæskətˌbɔɫ/,real,"a game played by two teams of five players, using a large ball which players try to throw into a high net hanging from a ring","basket+ball(giỏ, rổ + quả bóng)",Oxford 5000 (verified),,
basket+work,basketwork,[basket+work],0-2-0,noun,/bˈɑːskɪtwˌɜːk/,real,"basket+work(a container for holding or carrying things. Baskets are made of long thin pieces of material that bends and twists easily, for example plastic, wire or wicker. + the job that a person does especially in order to earn money)","basket+work(giỏ, rổ + công việc)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
bat+man,batman,[bat+man],0-2-0,noun,/ˈbætˌmæn/,real,an orderly assigned to serve a British military officer,"bat+man(con dơi, gậy đánh bóng + đàn ông)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bat+wing,batwings,[bat+wing],0-2-0,noun,/bˈætwɪŋz/,"generated (espeak-ng G2P, algorithmic)","bat+wing(a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis + one of the parts of the body of a bird, insect or bat that it uses for flying)","bat+wing(con dơi, gậy đánh bóng + cánh)","compositional (generated, unverified)",công thức ghép (chưa xác thực),"liên quan ""batwing sleeves"" (tay áo dơi), có thật trong thời trang"
bath+room,bathroom,[bath+room],0-2-0,noun,/ˈbæˌθɹum/,real,"a room in which there is a bath, a washbasin and often a toilet",bath+room(bồn tắm + căn phòng),Oxford 5000 (verified),,
bath+tube,bathtub,[bath+tube],0-2-0,noun,/ˈbæθtəb/,real,a relatively large open container that you fill with water and use to wash the body,"bath+tube(bồn tắm + ống, tàu điện ngầm)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
battle+dress,battledress,[battle+dress],0-2-0,noun,/bˈætəldɹˌɛs/,real,"battle+dress(a fight between armies, ships or planes, especially during a war; a violent fight between groups of people + a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles)","battle+dress(trận chiến + váy, mặc quần áo)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
battle+field,battlefield,[battle+field],0-2-0,noun,/ˈbætəɫˌfiɫd/,real,a place where a battle is being fought or has been fought,"battle+field(trận chiến + cánh đồng, lĩnh vực)",Oxford 5000 (verified),,
battle+front,battlefront,[battle+front],0-2-0,noun,/ˈbætəɫˌfɹənt/,real,the line along which opposing armies face each other,battle+front(trận chiến + phía trước),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
battle+ground,battleground,[battle+ground],0-2-0,noun,/ˈbætəɫˌɡɹaʊnd/,real,a region where a battle is being (or has been) fought,battle+ground(trận chiến + mặt đất),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
battle+ship,battleship,[battle+ship],0-2-0,noun,/ˈbætəɫˌʃɪp/,real,large and heavily armoured warship,battle+ship(trận chiến + con tàu),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
beach+head,beachhead,[beach+head],0-2-0,noun,/ˈbitʃˌhɛd/,real,an initial accomplishment that opens the way for further developments,"beach+head(bãi biển + đầu, người đứng đầu)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
beach+wear,beachwear,[beach+wear],0-2-0,noun,/bˈiːtʃweə/,real,clothing to be worn at a beach,beach+wear(bãi biển + mặc quần áo),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bean+pole,beanpole,[bean+pole],0-2-0,noun,/bˈiːnpəʊl/,real,"bean+pole(a seed, or pod containing seeds, of a climbing plant, eaten as a vegetable. There are several types of bean and the plants that they grow on are also called beans. + a long thin straight piece of wood or metal, especially one with the end placed in the ground, used as a support)","bean+pole(hạt đậu + cực, cột)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
bear+skin,bearskin,[bear+skin],0-2-0,noun,/bˈeəskɪn/,real,tall hat,"bear+skin(gấu, chịu đựng + làn da)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
beast+sell,bestseller,[beast+sell]-er,0-2-1,noun,/ˈbɛˈsɛɫɝ/,real,a book that has had a large and rapid sale,beast+sell(con thú + bán) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
beast+sell,bestselling,[beast+sell],0-2-0,noun,/ˈbɛˈsɛɫɪŋ/,real,"beast+sell(an animal, especially one that is large or dangerous, or one that is unusual + to give something to somebody in exchange for money)",beast+sell(con thú + bán),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
