tu,pos,nghia_en,nghia_vi,cau_tao,kind,nguon,trong_morphlink,noun_type,noun_so_nhieu,adj_so_sanh_hon,adj_so_sanh_nhat,adj_ghi_chu,verb_hien_tai_don,verb_gerund,verb_qua_khu,verb_pp,so_nhieu_bat_quy_tac,dong_tu_bat_quy_tac,multi_nghia,meaning_vi_source,ipa,ipa_status
addition,noun,a thing that is added to something else,một thứ được thêm vào một thứ khác,[add]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],additions,,,,,,,,,,,,/əˈdɪʃən/,real
additional,adjective,more than was first mentioned or is usual,nhiều hơn so với lần đầu tiên được đề cập hoặc bình thường,[add]-ion-al,root,Đã có sẵn trong MorphLink (Word),có,,,more additional,most additional,,,,,,,,,,/əˈdɪʃənəɫ/,real
additionally,adverb,in a way that is more than was first mentioned or is usual,theo cách nhiều hơn so với lần đầu tiên được đề cập hoặc thông thường,[add]-ion-al-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/əˈdɪʃəˌnəɫi/,real
additive,adjective,characterized or produced by addition,đặc trưng hoặc được tạo ra bằng cách bổ sung,[add]-ive,root,Đã có sẵn trong MorphLink (Word),có,,,more additive,most additive,,,,,,,,,,/ˈædətɪv/,real
addressee,noun,one to whom something is addressed,một người mà điều gì đó được giải quyết,[address]-ee,root,Đã có sẵn trong MorphLink (Word),có,N[C],addressees,,,,,,,,,,,,/ˌædɹɛˈsi/,real
adequately,adverb,in a way that is enough or satisfactory for a particular purpose,"một cách đầy đủ, thỏa đáng",adequate-ly,root,Sinh mới (wordfreq ≥ 3.2),chưa,,,,,,,,,,,,,,/ˈædəkwɪtli/,"generated (eng_to_ipa/CMUdict, algorithmic)"
adjoin,verb,to attach or add,để đính kèm hoặc thêm,a-[join],root,Đã có sẵn trong MorphLink (Word),có,,,,,,adjoins,adjoining,adjoined,adjoined,,,,,/əˈdʒɔɪn/,real
adjudge,verb,to declare to be,tuyên bố là,a-[judge],root,Đã có sẵn trong MorphLink (Word),có,,,,,,adjudges,adjudging,adjudged,adjudged,,,,,/əˈdʒədʒ/,real
adjust,verb,to change something slightly to make it more suitable for a new set of conditions or to make it work better,để thay đổi một cái gì đó một chút để làm cho nó phù hợp hơn cho một tập hợp các điều kiện mới hoặc để làm cho nó hoạt động tốt hơn,a-[just],root,Đã có sẵn trong MorphLink (Word),có,,,,,,adjusts,adjusting,adjusted,adjusted,,,,,/əˈdʒəst/,real
adjustable,adjective,capable of being regulated,có khả năng được quản lý,a-[just]-able,root,Đã có sẵn trong MorphLink (Word),có,,,more adjustable,most adjustable,,,,,,,,,,/əˈdʒəstəbəɫ/,real
adjuster,noun,one who investigates insurance claims or claims for damages and recommends an effective settlement,một người điều tra các yêu cầu bồi thường bảo hiểm hoặc yêu cầu bồi thường thiệt hại và đề xuất một thỏa thuận giải quyết hiệu quả,a-[just]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],adjusters,,,,,,,,,,,,/əˈdʒəstɝ/,real
adjustment,noun,a small change made to something in order to correct or improve it,một thay đổi nhỏ được thực hiện cho một cái gì đó để sửa chữa hoặc cải thiện nó,a-[just]-ment,root,Đã có sẵn trong MorphLink (Word),có,N[C],adjustments,,,,,,,,,,,,/əˈdʒəstmənt/,real
adman,noun,someone whose business is advertising,người có hoạt động kinh doanh đang quảng cáo,[ad+man],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],admen,,,,,,,,,,,,/ˈædmən/,real
administer,verb,"to manage and organize the affairs of a company, an organization, a country, etc.","để quản lý và tổ chức các công việc của một công ty, một tổ chức, một quốc gia, v.v",a-[minister],root,Đã có sẵn trong MorphLink (Word),có,,,,,,administers,administering,administered,administered,,,,,/ədˈmɪnəstɝ/,real
administration,noun,"a particular government, especially the executive branch of a country, during a specific period, or the officials who make it up, e.g. ""the Biden administration""","một chính quyền cụ thể (đặc biệt là nhánh hành pháp của một quốc gia) trong một giai đoạn nhất định, ví dụ: chính quyền Biden",a-[minister]-ate-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],administrations,,,,,,,,,,,,/ædˌmɪnɪˈstɹeɪʃən/,real
administrative,adjective,connected with organizing the work of a business or an institution,liên quan đến việc tổ chức công việc của một doanh nghiệp hoặc một tổ chức,a-[minister]-ate-ive,root,Đã có sẵn trong MorphLink (Word),có,,,more administrative,most administrative,,,,,,,,,,/ədˈmɪnəˌstɹeɪtɪv/,real
administratively,adverb,by or for an administrator,bởi hoặc cho quản trị viên,a-[minister]-ate-ive-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ædˌmɪnəˈstɹeɪtɪvɫi/,real
administrator,noun,"a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc.","một người có nhiệm vụ quản lý và tổ chức các công việc công cộng hoặc kinh doanh của một công ty hoặc một tổ chức, hoặc một người làm việc trong một văn phòng xử lý hồ sơ, tài khoản, v.v",a-[minister]-ate-or,root,Đã có sẵn trong MorphLink (Word),có,N[C],administrators,,,,,,,,,,,,/ədˈmɪnəˌstɹeɪtɝ/,real
admirable,adjective,deserving of the highest esteem or admiration,xứng đáng được đánh giá cao nhất hoặc ngưỡng mộ,[admire]-able,root,Đã có sẵn trong MorphLink (Word),có,,,more admirable,most admirable,,,,,,,,,,/ˈædmɝəbəɫ/,real
admirably,adverb,in an admirable manner,một cách đáng ngưỡng mộ,[admire]-able-y,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈædmɝəbɫi/,real
admiration,noun,a favorable judgment,một phán đoán có lợi,[admire]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],admirations,,,,,,,,,,,,/ˌædmɝˈeɪʃən/,real
admirer,noun,"someone who admires another person, meaning they are romantically interested","một người ngưỡng mộ người khác, có nghĩa là họ quan tâm đến tình cảm",[admire]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],admirers,,,,,,,,,,,,/ædˈmaɪɹɝ/,real
admiringly,adverb,with admiration,với sự ngưỡng mộ,[admire]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ædˈmaɪɹɪŋɫi/,real
admissibility,noun,acceptability by virtue of being admissible,được chấp nhận nhờ khả năng được chấp nhận,[admit]-able-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],admissibilities,,,,,,,,,,,,/ədˌmɪsəˈbɪɫəti/,real
admissible,adjective,deserving to be admitted,xứng đáng được thừa nhận,[admit]-able,root,Đã có sẵn trong MorphLink (Word),có,,,more admissible,most admissible,,,,,,,,,,/ədˈmɪsəbəɫ/,real
admission,noun,"a statement admitting that something, especially something regrettable, is true, e.g. ""an admission of guilt""","một lời thừa nhận rằng điều gì đó (thường là điều đáng tiếc) là đúng, ví dụ: lời thú nhận có tội",[admit]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],admissions,,,,,,,,,,,,/ædˈmɪʃən/,real
admittance,noun,the act of admitting someone to enter,hành động thừa nhận ai đó,[admit]-ance,root,Đã có sẵn trong MorphLink (Word),có,N[C],admittances,,,,,,,,,,,,/ədˈmɪtəns/,real
admittedly,adverb,as acknowledged,như đã thừa nhận,[admit]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ædˈmɪtɪdɫi/,real
admix,verb,to mix or blend,để trộn hoặc pha trộn,a-[mix],root,Đã có sẵn trong MorphLink (Word),có,,,,,,admixes,admixing,admixed,admixed,,,,,/ɐdmˈɪks/,"generated (espeak-ng G2P, algorithmic)"
admixture,noun,the act of mixing together,hành động pha trộn với nhau,a-[mix]-ure,root,Đã có sẵn trong MorphLink (Word),có,N[C],admixtures,,,,,,,,,,,,/ɐdmˈɪkstʃɐ/,real
adoption,noun,the act of adopting a child; the fact of being adopted,hành động nhận con nuôi; thực tế được nhận làm con nuôi,[adopt]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],adoptions,,,,,,,,,,,,/əˈdɑpʃən/,real
adoptive,adjective,acquired as your own by free choice,có được như của riêng bạn bằng cách tự do lựa chọn,[adopt]-ive,root,Đã có sẵn trong MorphLink (Word),có,,,more adoptive,most adoptive,,,,,,,,,,/əˈdɑptɪv/,real
adulthood,noun,the state (and responsibilities) of a person who has attained maturity,trạng thái (và trách nhiệm) của một người đã đạt đến sự trưởng thành,[adult]-hood,root,Đã có sẵn trong MorphLink (Word),có,N[C],adulthoods,,,,,,,,,,,,/əˈdəɫtˌhʊd/,real
advancement,noun,gradual improvement or growth or development,từng bước cải thiện hoặc tăng trưởng hoặc phát triển,[advance]-ment,root,Đã có sẵn trong MorphLink (Word),có,N[C],advancements,,,,,,,,,,,,/ədˈvænsmənt/,real
advantageous,adjective,giving an advantage,mang lại lợi thế,[advantage]-ious,root,Đã có sẵn trong MorphLink (Word),có,,,more advantageous,most advantageous,,,,,,,,,,/ˌædvənˈteɪdʒəs/,real
advantageously,adverb,in a manner affording benefit or advantage,theo cách mang lại lợi ích hoặc lợi thế,[advantage]-ious-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ɐdvɑːntˈeɪdʒəsli/,real
adventurous,adjective,willing to take risks or to try new and exciting things,"ưa mạo hiểm, thích phiêu lưu",adventure-ous,root,Sinh mới (wordfreq ≥ 3.2),chưa,,,more adventurous,most adventurous,,,,,,,,,,/ædˈvɛnʧərəs/,"generated (eng_to_ipa/CMUdict, algorithmic)"
adversary,noun,someone who offers opposition,một người đưa ra sự phản đối,[adverse]-ory,root,Đã có sẵn trong MorphLink (Word),có,N[C],adversaries,,,,,,,,,,,,/ˈædvɝˌsɛɹi/,real
adversely,adverb,in an negative manner,một cách tiêu cực,[adverse]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ædˈvɝsɫi/,real
adversity,noun,a stroke of ill fortune,một cơn đột quỵ của tài sản xấu,[adverse]-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],adversities,,,,,,,,,,,,/ædˈvɝsɪˌti/,real
advertise,verb,"to describe or promote a product, service, or event publicly in order to encourage people to buy or use it","quảng cáo, rao bán (sản phẩm, dịch vụ)",advert-ise,root,Sinh có kiểm soát — trùng MorphLink,có,,,,,,advertises,advertising,advertised,advertised,,,,,/ˈædvərˌtaɪz/,"generated (eng_to_ipa/CMUdict, algorithmic)"
advertisement,noun,"a public notice or announcement, especially one promoting a product or service",quảng cáo (thương mại),advertise-ment,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],advertisements,,,,,,,,,,,,/ˌædvərˈtaɪzmənt/,"generated (eng_to_ipa/CMUdict, algorithmic)"
advertiser,noun,a person or company that advertises a product or service,người hoặc công ty quảng cáo,advertise-er,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],advertisers,,,,,,,,,,,,/ˈædvərˌtaɪzər/,"generated (eng_to_ipa/CMUdict, algorithmic)"
advisability,noun,the quality of being advisable,chất lượng của việc được khuyến khích,[advise]-able-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],advisabilities,,,,,,,,,,,,/ˌædˌvaɪzəˈbɪɫɪti/,real
advisable,adjective,worthy of being recommended or suggested,xứng đáng được giới thiệu hoặc đề xuất,[advise]-able,root,Đã có sẵn trong MorphLink (Word),có,,,more advisable,most advisable,,,,,,,,,,/ədˈvaɪzəbəɫ/,real
advise,verb,to give someone suggestions about the best thing to do,"khuyên, cố vấn, tư vấn",adv-ise,root,Sinh có kiểm soát — trùng MorphLink,có,,,,,,advises,advising,advised,advised,,,,,/ədˈvaɪz/,"generated (eng_to_ipa/CMUdict, algorithmic)"
advisedly,adverb,with intention,với ý định,[advise]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ædˈvaɪzədɫi/,real
advisement,noun,careful consideration,cân nhắc cẩn thận,[advise]-ment,root,Đã có sẵn trong MorphLink (Word),có,N[C],advisements,,,,,,,,,,,,/ədˈvaɪzmənt/,real
adviser,noun,an expert who gives advice,một chuyên gia đưa ra lời khuyên,[advise]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],advisers,,,,,,,,,,,,/ædˈvaɪzɝ/,real
advisor,noun,an expert who gives advice,một chuyên gia đưa ra lời khuyên,[advise]-or,root,Đã có sẵn trong MorphLink (Word),có,N[C],advisors,,,,,,,,,,,,/ædˈvaɪzɝ/,real
advisory,adjective,giving consultative information or advice,đưa ra thông tin hoặc lời khuyên tư vấn,[advise]-ory,root,Đã có sẵn trong MorphLink (Word),có,,,more advisory,most advisory,,,,,,,,,,/ædˈvaɪzɝi/,real
affection,noun,a gentle feeling of fondness or liking for a person or thing,"tình cảm, sự yêu mến",affect-ion,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],affections,,,,,,,,,,,,/əˈfɛkʃən/,"generated (eng_to_ipa/CMUdict, algorithmic)"
affirm,verb,to establish or strengthen as with new evidence or facts,thành lập hoặc củng cố với bằng chứng mới hoặc sự kiện,a-[firm],root,Đã có sẵn trong MorphLink (Word),có,,,,,,affirms,affirming,affirmed,affirmed,,,,,/əˈfɝm/,real
affirmation,noun,a judgment by a higher court that the judgment of a lower court was correct and should stand,một phán quyết của tòa án cấp cao hơn rằng phán quyết của tòa án cấp dưới là chính xác và nên,a-[firm]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],affirmations,,,,,,,,,,,,/ˌæfɝˈmeɪʃən/,real
affirmative,adjective,affirming or giving assent,khẳng định hoặc đồng ý,a-[firm]-ive,root,Đã có sẵn trong MorphLink (Word),có,,,more affirmative,most affirmative,,,,,,,,,,/əˈfɝmətɪv/,real
affirmatively,adverb,in an affirmative manner,một cách khẳng định,a-[firm]-ive-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/əˈfɝmətɪvɫi/,real
affluence,noun,abundant wealth,của cải dồi dào,a-[flu]-ance,root,Đã có sẵn trong MorphLink (Word),có,N[C],affluences,,,,,,,,,,,,/ˈæfɫuəns/,real
affluent,adjective,having an abundant supply of money or possessions of value,có nguồn cung tiền hoặc tài sản có giá trị dồi dào,a-[flu]-ant,root,Đã có sẵn trong MorphLink (Word),có,,,more affluent,most affluent,,,,,,,,,,/ˈæfɫuənt/,real
affordable,adjective,not expensive; able to be bought or paid for without difficulty,"có giá cả phải chăng, vừa túi tiền",afford-able,root,Sinh mới (wordfreq ≥ 3.2),chưa,,,more affordable,most affordable,,,,,,,,,,/əˈfɔrdəbəl/,"generated (eng_to_ipa/CMUdict, algorithmic)"
afforest,verb,to establish a forest on previously unforested land,để thiết lập một khu rừng trên đất chưa được trồng rừng trước đây,a-[forest],root,Đã có sẵn trong MorphLink (Word),có,,,,,,afforests,afforesting,afforested,afforested,,,,,/ɐfˈɔːɹɪst/,"generated (espeak-ng G2P, algorithmic)"
afforestation,noun,the conversion of bare or cultivated land into forest (originally for the purpose of hunting),chuyển đổi đất trống hoặc đất canh tác thành rừng (ban đầu với mục đích săn bắn),a-[forest]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],afforestations,,,,,,,,,,,,/ɐfˌɒɹɪstˈeɪʃən/,real
affront,noun,a deliberately offensive act or something producing the effect of deliberate disrespect,một hành động cố ý xúc phạm hoặc một cái gì đó gây ra ảnh hưởng của sự thiếu tôn trọng có chủ ý,a-[front],root,Đã có sẵn trong MorphLink (Word),có,N[C],affronts,,,,,,,,,,,,/əˈfɹənt/,real
