root,pos,nghia_en,nghia_vi,la_goc_rang_buoc,bien_the,nguon_phan_loai
manage,verb,to be in charge of and make decisions about something,"quản lý, điều hành",không,,Root gốc
occupy,verb,"to live in, fill, or take control of a place","chiếm giữ, cư trú, sử dụng một nơi",không,,Root gốc
plate,noun,"a flat dish or thin sheet, usually of metal","cái đĩa; tấm, bản mỏng thường bằng kim loại",không,,Root gốc
grow,verb,to increase in size or develop over time,"lớn lên, phát triển, tăng trưởng",không,,Root gốc
conscious,adjective,aware of and responding to one's surroundings,"có ý thức, tỉnh táo, nhận biết được",không,,Root gốc
song,noun,a piece of music with words that is sung,bài hát,không,,Root gốc
shot,noun,"the act of firing a gun, or a single discharge","phát súng, cú bắn",không,,Root gốc
oil,noun,"a thick, greasy liquid used as fuel or lubricant","dầu, chất lỏng dùng làm nhiên liệu hoặc bôi trơn",không,,Root gốc
honor,noun,"great respect, or a strong sense of what is morally right","danh dự, sự tôn trọng; ý thức đạo đức cao",không,,Root gốc
father,noun,a male parent,người cha,không,,Root gốc
flower,noun,the colorful part of a plant that produces seeds,hoa,không,,Root gốc
spot,noun,"a small round mark, or a particular place","đốm, chấm; một địa điểm cụ thể",không,,Root gốc
here,adverb,"in, at, or to this place","ở đây, tại nơi này",không,,Root gốc
collect,verb,to gather things together from different places,"thu thập, tập hợp lại",không,,Root gốc
edit,verb,to prepare written material for publication by correcting and revising it,"biên tập, chỉnh sửa văn bản trước khi xuất bản",không,,Root gốc
some,determiner,an unspecified amount or number of,"một số, một vài",không,,Root gốc
shoe,noun,an outer covering for the foot,"giày, vật dụng bảo vệ bàn chân",không,,Root gốc
spring,noun,"the season after winter, or a coiled metal device",mùa xuân; lò xo,không,,Root gốc
plant,noun,"a living organism that grows in soil, typically with leaves","cây, thực vật",không,,Root gốc
plane,noun,"an aircraft, or a flat surface",máy bay; mặt phẳng,không,,Root gốc
hot,adjective,having a high temperature,"nóng, có nhiệt độ cao",không,,Root gốc
friend,noun,a person one knows and likes,"bạn bè, người quen thân thiết",không,,Root gốc
rational,adjective,based on reason or logic,"hợp lý, dựa trên lý trí",không,,Root gốc
dust,noun,fine particles of matter that settle on surfaces,bụi,không,,Root gốc
stop,verb,to bring movement or activity to an end,"dừng lại, ngừng lại",không,,Root gốc
flat,adjective,"having a level, even surface without curves","phẳng, bằng phẳng",không,,Root gốc
name,noun,a word by which a person or thing is known,tên gọi,không,,Root gốc
tea,noun,a hot drink made by infusing dried leaves in water,trà,không,,Root gốc
pack,noun,a bag or bundle of things carried together,"gói, kiện; ba lô",không,,Root gốc
list,noun,a series of names or items written down,danh sách,không,,Root gốc
cause,noun,"a person, thing, or event that makes something happen","nguyên nhân, lý do",không,,Root gốc
string,noun,a thin cord used for tying or fastening,"sợi dây, sợi chỉ",không,,Root gốc
cheer,noun,a shout of encouragement or approval,tiếng hò reo cổ vũ; sự vui vẻ,không,,Root gốc
stream,noun,"a small narrow river, or a continuous flow",dòng suối; dòng chảy liên tục,không,,Root gốc
limit,noun,the greatest amount or extent allowed,"giới hạn, mức tối đa cho phép",không,,Root gốc
cap,noun,"a soft flat hat, or a covering for the top of something",mũ lưỡi trai; nắp đậy,không,,Root gốc
brain,noun,the organ inside the head used for thinking,"não, bộ óc",không,,Root gốc
mother,noun,a female parent,người mẹ,không,,Root gốc
measure,verb,"to find the size, amount, or degree of something","đo lường, xác định kích thước hoặc mức độ",không,,Root gốc
expect,verb,to think that something will happen,"mong đợi, kỳ vọng điều gì sẽ xảy ra",không,,Root gốc
exist,verb,to have actual being or reality,"tồn tại, hiện hữu",không,,Root gốc
valid,adjective,legally or officially acceptable; well-grounded,"hợp lệ, có căn cứ vững chắc",không,,Root gốc
will,noun,a strong desire or intention to do something,"ý chí, ý muốn mạnh mẽ",không,,Root gốc
agree,verb,to have the same opinion as someone else,"đồng ý, tán thành",không,,Root gốc
wing,noun,a part of a bird or aircraft used for flying,"cánh chim, cánh máy bay",không,,Root gốc
admit,verb,"to confess something, or to allow someone to enter",thừa nhận; cho phép vào,không,,Root gốc
metal,noun,"a hard, shiny material such as iron or gold",kim loại,không,,Root gốc
whole,adjective,"complete, with nothing missing","toàn bộ, đầy đủ, không thiếu phần nào",không,,Root gốc
about,preposition,"concerning, or approximately","về, liên quan đến; khoảng chừng",không,,Root gốc
able,adjective,having the power or skill to do something,có khả năng làm điều gì đó,không,,Root gốc
dispute,verb,"to argue about something, questioning its truth","tranh cãi, tranh luận về điều gì đó",không,,Root gốc
do,verb,to perform or carry out an action,"làm, thực hiện một hành động",không,,Root gốc
mine,noun,an excavation in the ground for extracting minerals,mỏ khai thác khoáng sản,không,,Root gốc
fold,verb,to bend something over on itself,"gấp, gập lại",không,,Root gốc
fresh,adjective,newly made or obtained; not stale,"tươi mới, mới mẻ",không,,Root gốc
circle,noun,a round shape with all points the same distance from the center,"hình tròn, vòng tròn",không,,Root gốc
civil,adjective,"relating to ordinary citizens, or polite","thuộc về công dân, dân sự; lịch sự",không,,Root gốc
pick,verb,to choose or select something,"chọn, lựa chọn",không,,Root gốc
clear,adjective,easy to see through or understand,"rõ ràng, trong suốt, dễ hiểu",không,,Root gốc
carbon,noun,"a chemical element found in coal, diamonds, and all living things","cacbon, một nguyên tố hóa học",không,,Root gốc
industry,noun,economic activity concerned with producing goods,"ngành công nghiệp, hoạt động sản xuất",không,,Root gốc
inform,verb,to give someone information about something,"thông báo, cung cấp thông tin cho ai đó",không,,Root gốc
care,noun,serious attention or worry; the provision of what is needed for someone,"sự quan tâm, chăm sóc; sự lo lắng",không,,Root gốc
tax,noun,money paid to the government based on income or purchases,thuế,không,,Root gốc
know,verb,to have information or understanding in one's mind,"biết, hiểu rõ điều gì đó",không,,Root gốc
sweet,adjective,having the taste of sugar; pleasant,"ngọt; dễ chịu, đáng yêu",không,,Root gốc
open,adjective,not closed or shut,"mở, không đóng",không,,Root gốc
still,adjective,not moving; remaining calm,"yên tĩnh, đứng yên, không chuyển động",không,,Root gốc
tight,adjective,"fitting closely, leaving no slack","chật, khít, căng",không,,Root gốc
key,noun,a metal object used to lock or unlock something,chìa khóa,không,,Root gốc
storm,noun,a violent disturbance of the atmosphere with strong wind and rain,"cơn bão, giông tố",không,,Root gốc
iron,noun,"a strong, hard metal, or a device for pressing clothes",sắt; bàn ủi dùng để là quần áo,không,,Root gốc
strain,verb,to injure or stretch by overexertion; to make a great effort,"làm căng, kéo căng quá mức; cố gắng hết sức",không,,Root gốc
reason,noun,a cause or explanation for something; the power of rational thought,"lý do, nguyên nhân; khả năng suy luận",không,,Root gốc
rain,noun,water falling from clouds in drops,mưa,không,,Root gốc
drop,noun,a small amount of liquid that falls in a rounded shape,"giọt nước, giọt chất lỏng",không,,Root gốc
ear,noun,the organ used for hearing,"tai, cơ quan thính giác",không,,Root gốc
flame,noun,the visible part of a fire,ngọn lửa,không,,Root gốc
rock,noun,a hard solid mineral material forming part of the earth's surface,"đá, tảng đá",không,,Root gốc
escape,verb,to get free from confinement or danger,"trốn thoát, thoát khỏi nguy hiểm",không,,Root gốc
fast,adjective,"firmly fixed in place; also, moving quickly","được giữ chặt, cố định; nghĩa khác là nhanh, mau lẹ",không,,Root gốc
wire,noun,a thin strand of metal used to carry electricity or for fastening,"dây điện, dây kim loại",không,,Root gốc
shine,verb,to give out or reflect light brightly,"chiếu sáng, tỏa sáng",không,,Root gốc
stage,noun,"a raised platform for performances, or a point in a process",sân khấu; giai đoạn trong một quá trình,không,,Root gốc
bug,noun,"a small insect, or a fault in a system",côn trùng nhỏ; lỗi trong hệ thống hoặc phần mềm,không,,Root gốc
five,numeral,the number equal to 4 plus 1,số năm (5),không,,Root gốc
sound,noun,a sensation perceived by the ear; something heard,âm thanh,không,,Root gốc
speed,noun,the rate at which something moves or happens,tốc độ,không,,Root gốc
connect,verb,to join or link two or more things together,"kết nối, liên kết",không,,Root gốc
gate,noun,a barrier at an opening in a wall or fence,"cổng, cửa ở tường rào",không,,Root gốc
gentle,adjective,"having or showing a mild, kind temperament","hiền lành, nhẹ nhàng, dịu dàng",không,,Root gốc
develop,verb,to grow or change into a more advanced state,"phát triển, mở mang",không,,Root gốc
help,verb,to make it easier for someone to do something; to assist,"giúp đỡ, hỗ trợ",không,,Root gốc
shift,verb,"to move or change from one position, direction, or state to another","dịch chuyển, thay đổi",không,,Root gốc
catch,verb,to seize or capture something that is moving,"bắt, chụp lấy",không,,Root gốc
stable,adjective,not likely to change or fail; firmly fixed,"ổn định, vững chắc",không,,Root gốc
